	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	EEMB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EEMC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EEMD	-	-	48hs.	10	7,000	8,890	175	-	8,600	-	-	-	-		
	EFX	-	-	48hs.	4	11.408,500	12.000,000	16	-	11.028,362	-	-	-	-		
	EFXC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EFXD	-	-	48hs.	-	-	-	-	-	11,326	-	-	-	-		
	ELP	-	-	48hs.	5	20.900,000	-	-	-	22.781,000	-	-	-	-		
	ELPC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ELPD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EOAN	-	-	48hs.	-	-	-	-	-	341,121	-	-	-	-		
	EOANB	-	-	48hs.	-	-	-	-	-	399,000	-	-	-	-		
	EOANC	-	-	48hs.	-	-	-	-	-	24,596	-	-	-	-		
	ERIC	2.320,000	-1,56	48hs.	3	2.321,000	2.330,000	21	-	2.357,000	2.292,000	2.450,000	5.583.157	96	15:45:21	
	ERICC	-	-	48hs.	-	-	-	-	-	3,475	-	-	-	-		
	ERJ	15.007,000	-0,73	48hs.	14	15.007,000	15.200,000	12	-	15.118,000	14.202,000	17.000,000	2.665.517	27	15:34:47	
	ERJD	-	-	48hs.	15	14,700	18,950	30	-	14,850	-	-	-	-		
	ETSY	4.050,000	2,49	48hs.	5	4.051,000	4.100,000	35	-	3.951,500	3.970,000	4.199,000	3.523.610	32	15:43:34	
	ETSYB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ETSYC	-	-	48hs.	-	-	-	-	-	13,400	-	-	-	-		
	ETSYD	4,490	6,39	48hs.	15	3,500	4,490	85	-	4,220	4,490	4,490	9	1	13:55:54	
	EWZ	16.100,000	3,60	48hs.	193	16.100,000	16.150,000	337	-	15.539,500	15.500,000	16.100,000	34.027.807	169	15:46:12	
	EWZB	-	-	48hs.	-	-	-	-	-	8.350,000	-	-	-	-		
	EWZC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
